# Age[Myr]   Lxuv[erg.s-1]
1.597234270937287270e+01 2.764998111753833387e+29
1.610910056478382657e+01 2.740255899556399632e+29
1.624702936370359652e+01 2.719448720684461747e+29
1.638613913194535954e+01 2.698679955873074776e+29
1.652643998116488788e+01 2.677701878905436707e+29
1.666794210959566058e+01 2.656509868475116919e+29
1.681065580279008742e+01 2.638257655748317327e+29
1.695459143436730187e+01 2.619946133599048700e+29
1.709975946676697944e+01 2.601481829838627409e+29
1.724617045200994880e+01 2.582863089555719383e+29
1.739383503246530438e+01 2.566550444249405041e+29
1.754276394162375752e+01 2.550140714037982978e+29
1.769296800487800070e+01 2.533605679577637722e+29
1.784445814030949862e+01 2.516949150253468545e+29
1.799724535948224968e+01 2.500719908591787702e+29
1.815134076824296017e+01 2.484365134561174353e+29
1.830675556752857958e+01 2.467883929578426365e+29
1.846350105418024157e+01 2.451293033899172102e+29
1.862158862176454122e+01 2.435426621866229161e+29
1.878102976140165481e+01 2.419437205324953932e+29
1.894183606260074981e+01 2.403323920876058273e+29
1.910401921410219472e+01 2.387184408210552864e+29
1.926759100472727937e+01 2.372669917914916341e+29
1.943256332423527510e+01 2.358046234842068463e+29
1.959894816418742991e+01 2.343312708157631187e+29
1.976675761881877591e+01 2.328500245786552909e+29
1.993600388591713823e+01 2.313900228857063757e+29
2.010669926770997762e+01 2.299188342740897229e+29
2.027885617175833843e+01 2.284363846967853897e+29
2.045248711185886847e+01 2.269554608212400652e+29
2.062760470895354104e+01 2.255560285723284761e+29
2.080422169204681992e+01 2.241459498227563285e+29
2.098235089913106322e+01 2.227251576189738838e+29
2.116200527811960796e+01 2.213022629731302985e+29
